"data","type","time"
30,"Size","0"
266,"Size","0.1"
411,"Size","0.2"
459,"Size","0.3"
409,"Size","0.4"
470,"Size","0.5"
499,"Size","0.6"
452,"Size","0.7"
437,"Size","0.8"
503,"Size","0.9"
494,"Size","1"
449,"Size","1.1"
380,"Size","1.2"
155,"Size","1.3"
124,"Size","1.4"
123,"Size","1.5"
191,"Size","1.6"
194,"Size","1.7"
402,"Size","1.8"
15,"Top 90%","0"
66,"Top 90%","0.1"
98,"Top 90%","0.2"
97,"Top 90%","0.3"
81,"Top 90%","0.4"
104,"Top 90%","0.5"
128,"Top 90%","0.6"
104,"Top 90%","0.7"
107,"Top 90%","0.8"
118,"Top 90%","0.9"
126,"Top 90%","1"
111,"Top 90%","1.1"
82,"Top 90%","1.2"
23,"Top 90%","1.3"
20,"Top 90%","1.4"
20,"Top 90%","1.5"
39,"Top 90%","1.6"
40,"Top 90%","1.7"
95,"Top 90%","1.8"
18,"Top 95%","0"
87,"Top 95%","0.1"
133,"Top 95%","0.2"
137,"Top 95%","0.3"
115,"Top 95%","0.4"
142,"Top 95%","0.5"
172,"Top 95%","0.6"
143,"Top 95%","0.7"
143,"Top 95%","0.8"
161,"Top 95%","0.9"
167,"Top 95%","1"
146,"Top 95%","1.1"
110,"Top 95%","1.2"
31,"Top 95%","1.3"
27,"Top 95%","1.4"
26,"Top 95%","1.5"
51,"Top 95%","1.6"
53,"Top 95%","1.7"
128,"Top 95%","1.8"
23,"Top 99%","0"
140,"Top 99%","0.1"
214,"Top 99%","0.2"
235,"Top 99%","0.3"
203,"Top 99%","0.4"
238,"Top 99%","0.5"
273,"Top 99%","0.6"
233,"Top 99%","0.7"
229,"Top 99%","0.8"
270,"Top 99%","0.9"
264,"Top 99%","1"
236,"Top 99%","1.1"
183,"Top 99%","1.2"
56,"Top 99%","1.3"
46,"Top 99%","1.4"
43,"Top 99%","1.5"
84,"Top 99%","1.6"
90,"Top 99%","1.7"
201,"Top 99%","1.8"
